file,function,line,LOC,CC,MI,n1,n2,N1,N2,V,D,E
"server/services/ai/aiCatalogService.js","tokenize",3,6,2,"68.75",5,11,13,12,100,2.7273,272.7273
"server/services/ai/aiCatalogService.js","asText",10,6,3,"68.57",8,7,16,10,101.5792,5.7143,580.4523
"server/services/ai/aiCatalogService.js","includeById",17,7,4,"64.81",15,11,28,16,206.8193,10.9091,2256.2111
"server/services/ai/aiCatalogService.js","includeById::<callback@23:26>",23,1,1,"88.97",3,5,6,6,36,1.8,64.8
"server/services/ai/aiCatalogService.js","loadCatalog",26,11,5,"59.56",13,13,38,20,272.6255,10,2726.255
"server/services/ai/aiCatalogService.js","rankProductsBySemanticQuery",41,14,3,"57.80",12,13,34,20,250.7682,9.2308,2314.7837
"server/services/ai/aiCatalogService.js","rankProductsBySemanticQuery::<callback@48:10>",48,21,6,"51.42",19,21,56,39,505.5832,17.6429,8919.9316
"server/services/ai/aiCatalogService.js","rankProductsBySemanticQuery::<callback@72:13>",72,1,1,"90.40",4,3,4,4,22.4588,2.6667,59.8902
"server/services/ai/aiCatalogService.js","rankProductsBySemanticQuery::<callback@73:11>",73,1,1,"88.97",5,3,6,6,36,5,180
"server/services/ai/aiCatalogService.js","rankProductsBySemanticQuery::<callback@75:10>",75,1,1,"91.86",3,2,3,3,13.9316,2.25,31.346
"server/services/ai/aiCatalogService.js","productToChatItem",80,9,4,"61.07",11,16,35,33,323.3324,11.3438,3667.8013
"server/services/ai/aiCatalogService.js","findBestProductByHint",90,22,10,"49.41",20,25,74,55,708.449,22,15585.8791
"server/services/ai/aiPlannerService.js","detectAction",58,8,6,"62.65",9,13,35,22,254.1876,7.6154,1935.7364
"server/services/ai/aiPlannerService.js","calcTotal",68,2,2,"82.36",6,3,7,4,34.8692,4,139.4767
"server/services/ai/aiPlannerService.js","calcTotal::<callback@69:16>",69,1,3,"86.13",7,7,11,11,83.7618,5.5,460.6899
"server/services/ai/aiPlannerService.js","uniqueByProductId",71,12,4,"58.33",17,12,43,24,325.4847,17,5533.2404
"server/services/ai/aiPlannerService.js","recipeToPlan",86,12,1,"60.25",10,11,27,18,197.6543,8.1818,1617.1714
"server/services/ai/aiPlannerService.js","recipeToPlan::<callback@88:10>",88,1,1,"90.65",3,3,4,4,20.6797,2,41.3594
"server/services/ai/aiPlannerService.js","recipeToPlan::<callback@90:10>",90,1,1,"90.65",3,3,4,4,20.6797,2,41.3594
"server/services/ai/aiPlannerService.js","buildRecipeFromCatalog",100,29,6,"47.28",17,26,78,55,721.6932,17.9808,12976.5991
"server/services/ai/aiPlannerService.js","buildRecipeFromCatalog::<callback@103:36>",103,2,1,"83.73",3,3,5,4,23.2647,2,46.5293
"server/services/ai/aiPlannerService.js","buildRecipeFromCatalog::<callback@103:36>::<callback@104:24>",104,1,1,"89.43",3,4,6,5,30.8809,1.875,57.9017
"server/services/ai/aiPlannerService.js","buildRecipeFromCatalog::<callback@110:36>",110,4,1,"76.59",4,3,6,4,28.0735,2.6667,74.8628
"server/services/ai/aiPlannerService.js","buildRecipeFromCatalog::<callback@110:36>::<callback@111:35>",111,4,1,"77.27",4,3,5,3,22.4588,2,44.9177
"server/services/ai/aiPlannerService.js","buildRecipeFromCatalog::<callback@110:36>::<callback@111:35>::<callback@112:30>",112,2,3,"78.94",6,8,15,12,102.7986,4.5,462.5936
"server/services/ai/aiPlannerService.js","suggestProductsForDish",139,12,4,"58.03",14,21,39,31,359.0498,10.3333,3710.1814
"server/services/ai/aiPlannerService.js","suggestProductsForDish::<callback@140:38>",140,2,1,"83.73",3,3,5,4,23.2647,2,46.5293
"server/services/ai/aiPlannerService.js","suggestProductsForDish::<callback@140:38>::<callback@141:24>",141,1,1,"89.43",3,4,6,5,30.8809,1.875,57.9017
"server/services/ai/aiPlannerService.js","planDinnersByBudget",154,31,8,"45.31",22,35,102,74,1026.5886,23.2571,23875.5187
"server/services/ai/aiPlannerService.js","planDinnersByBudget::<callback@158:41>",158,1,1,"90.65",3,3,4,4,20.6797,2,41.3594
"server/services/ai/aiPlannerService.js","planDinnersByBudget::<callback@159:5>",159,1,1,"88.97",5,3,6,6,36,5,180
"server/services/ai/aiPlannerService.js","planDinnersByBudget::<callback@176:25>",176,1,1,"90.30",3,3,5,4,23.2647,2,46.5293
"server/services/ai/aiPlannerService.js","planDinnersByBudget::<callback@176:25>::<callback@176:50>",176,1,1,"91.39",4,1,5,2,16.2535,4,65.014
"server/services/ai/aiPlannerService.js","planDinnersByBudget::<callback@187:28>",187,5,1,"69.84",6,9,18,15,128.9274,5,644.6369
"server/services/ai/aiPlannerService.js","decideAction",196,6,3,"69.63",8,4,13,7,71.6993,7,501.8948
"server/controllers/orderController.js","placeOrderCOD",7,37,9,"43.20",24,34,117,76,1130.5903,26.8235,30326.423
"server/controllers/orderController.js","placeOrderStripe",54,57,9,"37.38",28,60,186,123,1995.9644,28.7,57284.1774
"server/controllers/orderController.js","placeOrderStripe::<callback@99:40>",99,8,1,"64.02",8,13,26,20,202.0466,6.1538,1243.3637
"server/controllers/orderController.js","stripeWebhooks",133,28,4,"46.65",21,45,105,74,1081.9465,17.2667,18681.6104
"server/controllers/orderController.js","getUserOrders",173,20,4,"52.22",18,20,59,35,493.3052,15.75,7769.5567
"server/controllers/orderController.js","getAllOrders",198,16,2,"55.90",15,16,42,23,322.0228,10.7813,3471.8079
